,href,price,img,prod_id
0,https://www.nike.com//kr/ko_kr/t/women/ap/nike-sportswear/CU6862-010/eqhv37/as-w-nsw-icn-clsh-hr-tight-aop,"59,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6862-010/d25090f3-2f6f-4cbc-9a85-4d8902701018_primary.jpg?browse,CU6862-010
1,https://www.nike.com//kr/ko_kr/t/women/ap/nike-sportswear/CU6482-482/tlvx85/as-w-nsw-icn-clsh-tight,"49,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6482-482/7549fa91-92c6-46c6-9377-eaa5089d2ef2_primary.jpg?browse,CU6482-482
2,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU6082-010/ynzh89/as-icnclsh-nike-one-pt-tgt-g,"59,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6082-010/46aa6e4a-cefd-46fa-a2ba-fa2a164612e2_primary.jpg?browse,CU6082-010
3,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU5021-010/auov20/as-w-nike-one-tght-pp5-colorbl,"59,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU5021-010/39c08b05-3adc-449a-b88c-4beee8790a3a_primary.jpg?browse,CU5021-010
4,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU5021-614/gzqg25/as-w-nike-one-tght-pp5-colorbl,"59,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU5021-614/e58c0370-aa6b-4d04-a8d9-47b090a35c04_primary.jpg?browse,CU5021-614
5,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU6307-298/cfby65/as-yoga-stmt-cln-78-tight-ho,"99,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6307-298/d8aa0324-b805-4cee-a1ae-e534f55d9b1b_primary.jpg?browse,CU6307-298
6,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU5803-010/bxwu34/as-w-np-luxe-tight,"89,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU5803-010/3b5f29cd-6be2-4d7a-a5a2-1a1f874472f8_primary.jpg?browse,CU5803-010
7,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU2917-010/lwqf82/w-nike-one-tght-plus-fa20-plus,"49,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU2917-010/8ce5d25a-7259-46a8-9993-35fd80814665_primary.jpg?browse,CU2917-010
8,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU6031-010/vesk59/as-w-nike-one-tgt-78-icnclsh,"79,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6031-010/0f85d3f0-ef89-476f-a121-717a95959f1c_primary.jpg?browse,CU6031-010
9,https://www.nike.com//kr/ko_kr/t/women/ap/running/CU3334-460/mkjl51/as-w-nk-icnclsh-fast-tight,"69,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU3334-460/788691d5-c194-40d8-852b-cfce551062ae_primary.jpg?browse,CU3334-460
10,https://www.nike.com//kr/ko_kr/t/women/ap/running/CV7314-010/uocy48/as-w-nk-speed-78-tght-matte,"79,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CV7314-010/76f59474-5ef6-4db4-9c67-593b13830ae9_primary.jpg?browse,CV7314-010
11,https://www.nike.com//kr/ko_kr/t/women/ap/running/CU3352-010/ndde92/as-w-nk-nike-air-78-tight,"69,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU3352-010/43edc257-a789-4f42-91cf-f76841e32b2f_primary.jpg?browse,CU3352-010
12,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CV5836-010/qaqd99/as-w-nk-yoga-78-tight-nfs,"59,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CV5836-010/9462611a-3888-4f04-ab31-7f71879fc5a2_primary.jpg?browse,CV5836-010
13,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU5818-516/otyy92/as-w-np-cln-nvlty-3-short,"65,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU5818-516/b000ef1c-b0a5-45f9-91ee-a6b41e4cbd5f_primary.jpg?browse,CU5818-516
14,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU6307-010/xydv59/as-yoga-stmt-cln-78-tight-ho,"99,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6307-010/95a04ac2-4607-44a5-a613-a2b7499ae364_primary.jpg?browse,CU6307-010
15,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU6307-397/ifgf67/as-yoga-stmt-cln-78-tight-ho,"99,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6307-397/27ab53ed-6566-4e4a-a5df-59c5212f7e87_primary.jpg?browse,CU6307-397
16,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU6287-010/azef17/as-yoga-core-collection-78-ti,"59,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6287-010/2d932ee6-1834-4574-a811-e3d14d2c4dbf_primary.jpg?browse,CU6287-010
17,https://www.nike.com//kr/ko_kr/t/women/ap/women-training/CU6287-564/enis75/as-yoga-core-collection-78-ti,"59,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6287-564/bf80b851-2994-455a-ba47-fda4f613e201_primary.jpg?browse,CU6287-564
18,https://www.nike.com//kr/ko_kr/t/women/ap/basketball/CU6364-010/fush88/as-w-j-78-essential-legging,"79,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CU6364-010/90aa4615-68b5-464f-b357-2b031bafcf3c_primary.jpg?browse,CU6364-010
19,https://www.nike.com//kr/ko_kr/t/women/ap/nike-sportswear/CJ2662-010/pnpy44/as-w-nsw-legasee-bike-short,"55,000 원",https://static-breeze.nike.co.kr/kr/ko_kr/cmsstatic/product/CJ2662-010/5e2c5852-d57e-4ac3-b28f-c8c56480054c_primary.jpg?browse,CJ2662-010
